epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9946,1.53522,2.47924,2.75408,0.11311,0.7573,0.88889,0.80838,0.5763,0.94656,1.99501,1.73858,0.09281,0.000655738,0.000655738,0.000655738
2,24.2664,1.33001,1.71872,2.19005,0.08172,0.57846,0.83333,0.64687,0.45963,0.93486,1.93694,1.70072,0.01553,0.00130058,0.00130058,0.00130058
3,34.7741,1.27166,1.55256,2.01251,0.08239,0.7682,0.94444,0.84013,0.55941,1.15297,1.67113,2.07005,0.10598,0.00192343,0.00192343,0.00192343
4,47.1865,1.19663,1.36849,1.93726,0.0818,0.83939,0.87168,0.89836,0.6273,0.93152,1.35948,1.87523,0.03872,0.001901,0.001901,0.001901
5,60.1423,1.13432,1.24764,1.7689,0.06794,0.78041,0.98762,0.95613,0.66572,0.93735,0.9458,1.70177,0.08355,0.001868,0.001868,0.001868
6,71.7018,1.08163,1.22117,1.68446,0.06977,0.88186,0.94444,0.96324,0.68962,0.85032,0.97391,1.64538,0.1014,0.001835,0.001835,0.001835
7,84.9742,1.04868,1.09538,1.68077,0.07795,0.80569,0.77778,0.87356,0.64306,1.11424,1.17703,1.71693,0.0542,0.001802,0.001802,0.001802
8,95.7346,0.99857,1.04302,1.56939,0.06325,0.82349,0.83333,0.84603,0.70408,0.72451,0.96297,1.4255,0.09073,0.001769,0.001769,0.001769
9,107.367,0.95551,1.00416,1.51713,0.06869,0.86824,0.77778,0.85606,0.67673,0.81852,1.16206,1.6838,0.08603,0.001736,0.001736,0.001736
10,120.481,0.89158,0.91004,1.50204,0.07102,0.8372,0.88889,0.91491,0.68019,0.8861,1.11424,1.66504,0.10073,0.001703,0.001703,0.001703
11,131.111,0.87234,0.90081,1.43674,0.06086,0.62305,0.77778,0.74683,0.50664,0.81662,1.19919,1.71824,0.10848,0.00167,0.00167,0.00167
12,141.581,0.85924,0.86854,1.41076,0.05644,0.888,0.88134,0.8879,0.74553,0.68804,0.9935,1.48237,0.07727,0.001637,0.001637,0.001637
13,153.872,0.98266,0.90931,1.50528,0.06917,0.70782,0.83333,0.7966,0.69773,0.70931,1.06639,1.52459,0.17168,0.001604,0.001604,0.001604
14,165.01,0.87071,0.84278,1.45129,0.05625,0.95226,0.77778,0.86711,0.73435,0.61517,0.924,1.41665,0.0366,0.001571,0.001571,0.001571
15,176.258,0.82578,0.792,1.40588,0.06288,0.83588,0.88889,0.91973,0.72809,0.88334,0.8823,1.59499,0.08325,0.001538,0.001538,0.001538
16,189.675,0.82828,0.81921,1.4392,0.06022,0.75252,0.88889,0.80149,0.64217,0.73652,1.0997,1.6616,0.05068,0.001505,0.001505,0.001505
17,200.281,0.78677,0.77361,1.39123,0.05021,0.97253,0.77778,0.92476,0.75004,0.63534,0.87523,1.33951,0.10479,0.001472,0.001472,0.001472
