epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4101,1.80983,3.501,2.94546,0.13459,0.00753,1,0.0327,0.01378,0.90538,3.40858,2.18756,0.06646,0.0001,0.0001,0.0001
2,18.1674,1.5414,2.66911,2.84225,0.10496,0.81532,0.75,0.78004,0.66238,0.69236,2.00436,1.96283,0.04906,0.000217822,0.000217822,0.000217822
3,24.3551,1.2284,1.9245,2.38904,0.09019,0.88584,0.97259,0.92611,0.80486,0.68462,1.56353,1.70303,0.02925,0.000333268,0.000333268,0.000333268
4,31.3796,1.1866,1.79195,2.32831,0.06639,0.77082,1,0.89225,0.74989,0.66147,1.78982,1.61434,0.09967,0.000446338,0.000446338,0.000446338
5,38.6245,1.07223,1.56684,2.14233,0.07498,0.76454,1,0.89225,0.74999,0.64195,1.91596,1.60738,0.11784,0.000557032,0.000557032,0.000557032
6,44.6027,1.08349,1.51015,2.0503,0.05465,0.77693,1,0.85643,0.71037,0.75143,2.31176,1.53397,0.10151,0.00066535,0.00066535,0.00066535
7,50.2192,1.1175,1.43658,2.03033,0.05593,0.70757,0.75,0.85601,0.6882,0.81927,2.91661,1.4987,0.13468,0.000771292,0.000771292,0.000771292
8,56.1362,0.94743,1.28103,1.91263,0.04214,0.77651,0.86931,0.83778,0.62345,1.04635,2.12632,1.91566,0.0579,0.000874858,0.000874858,0.000874858
9,61.4909,1.00201,1.22615,1.97984,0.04418,0.8222,0.625,0.79733,0.56286,1.15031,1.67058,1.97409,0.07835,0.000976048,0.000976048,0.000976048
10,67.5435,0.93963,1.11383,1.73736,0.06374,0.72471,1,0.921,0.6404,1.2032,1.3151,1.98364,0.07509,0.00107486,0.00107486,0.00107486
11,73.5164,0.95593,1.06953,1.76443,0.02875,0.86476,0.875,0.85875,0.6505,0.96372,1.2849,1.69501,0.07478,0.0011713,0.0011713,0.0011713
12,79.1497,0.96049,1.03264,1.72292,0.06309,0.86833,0.875,0.85875,0.68112,0.87514,1.31322,1.6541,0.06594,0.00126536,0.00126536,0.00126536
13,84.3957,0.99545,1.09067,1.74351,0.0645,0.87234,0.85637,0.8275,0.6505,1.0225,1.33678,1.8543,0.08048,0.00135705,0.00135705,0.00135705
14,89.668,0.98935,0.95034,1.73593,0.05911,0.86917,0.83419,0.8125,0.66525,0.8584,1.40679,1.73561,0.05305,0.00144636,0.00144636,0.00144636
15,95.3299,1.00882,0.94378,1.6434,0.06888,0.8463,0.875,0.8125,0.62011,0.9851,1.70929,1.80835,0.04855,0.00153329,0.00153329,0.00153329
16,102.09,0.92751,0.93514,1.65911,0.05051,0.8377,0.75,0.79325,0.48909,0.94615,1.8865,1.96873,0.03903,0.00161785,0.00161785,0.00161785
17,108.132,0.84629,0.89522,1.6268,0.04524,0.87225,0.85577,0.8125,0.57101,0.84073,1.69999,1.87801,0.04564,0.0016832,0.0016832,0.0016832
18,114.022,0.89508,0.8604,1.51918,0.06817,0.84254,0.75,0.76457,0.61559,0.80219,1.44498,1.78302,0.05441,0.0016634,0.0016634,0.0016634
19,120.741,0.94236,0.93454,1.60921,0.0736,0.87441,0.87084,0.79625,0.67008,0.74472,1.31189,1.66449,0.07362,0.0016436,0.0016436,0.0016436
20,126.446,0.9419,0.88124,1.56183,0.06018,0.8742,0.86941,0.79625,0.57698,0.83741,1.49625,1.66055,0.06038,0.0016238,0.0016238,0.0016238
21,131.986,0.87373,0.84961,1.62606,0.06808,0.87452,0.87166,0.76562,0.57726,0.94869,1.61548,1.73943,0.03999,0.001604,0.001604,0.001604
22,138.653,0.83174,0.79722,1.47593,0.04524,0.8715,0.875,0.86852,0.64938,0.95438,1.21172,1.7079,0.03163,0.0015842,0.0015842,0.0015842
23,145.633,0.83914,0.80463,1.49442,0.04784,0.79475,1,0.87725,0.74086,0.83514,1.1653,1.60385,0.02885,0.0015644,0.0015644,0.0015644
24,152.75,0.84323,0.78347,1.56297,0.06507,0.82333,0.75,0.84392,0.66701,0.79264,1.20997,1.58114,0.02996,0.0015446,0.0015446,0.0015446
25,158.391,0.83485,0.78323,1.52095,0.06554,0.77674,0.87034,0.86097,0.67697,0.82299,1.26145,1.6635,0.03417,0.0015248,0.0015248,0.0015248
26,163.847,0.77205,0.74334,1.41366,0.04142,0.92515,0.75,0.82773,0.65152,0.83707,1.43281,1.85204,0.06471,0.001505,0.001505,0.001505
27,169.626,0.82578,0.76252,1.52196,0.03433,0.95509,0.75,0.80188,0.63815,0.76353,1.4216,1.71595,0.05678,0.0014852,0.0014852,0.0014852
28,175.873,0.86726,0.77135,1.4903,0.0499,0.74407,0.75,0.79083,0.60967,0.92094,1.46844,1.95109,0.07326,0.0014654,0.0014654,0.0014654
29,181.938,0.83157,0.75397,1.47455,0.04851,0.75791,0.875,0.81944,0.63393,0.82739,1.31954,1.82748,0.08855,0.0014456,0.0014456,0.0014456
30,187.632,0.76747,0.74947,1.45758,0.05294,0.68656,0.875,0.806,0.6698,0.70397,1.21382,1.68076,0.04625,0.0014258,0.0014258,0.0014258
31,193.207,0.78072,0.69634,1.45906,0.06052,0.77327,0.85472,0.82897,0.70233,0.65192,1.14523,1.69606,0.04346,0.001406,0.001406,0.001406
32,199.81,0.72539,0.68079,1.51442,0.03984,0.85704,0.74944,0.80029,0.65336,0.78416,1.32016,1.71,0.02795,0.0013862,0.0013862,0.0013862
33,205.766,0.79084,0.72605,1.53455,0.04516,0.85701,0.74929,0.80029,0.62996,0.88974,1.43166,1.72628,0.06684,0.0013664,0.0013664,0.0013664
34,211.92,0.72264,0.69089,1.41932,0.04122,0.69862,0.86981,0.76433,0.64852,0.74342,1.47197,1.61522,0.09895,0.0013466,0.0013466,0.0013466
35,217.729,0.71874,0.65686,1.40421,0.03188,0.84508,0.75,0.78314,0.63798,0.74413,1.47168,1.59434,0.09684,0.0013268,0.0013268,0.0013268
36,223.666,0.632,0.5963,1.29508,0.02547,0.77003,0.875,0.79325,0.61606,0.98843,1.26996,1.81517,0.15085,0.001307,0.001307,0.001307
37,229.026,0.65735,0.61855,1.32243,0.03173,0.77182,0.875,0.79325,0.60763,1.04186,1.26763,1.84335,0.15037,0.0012872,0.0012872,0.0012872
38,235.169,0.76133,0.6964,1.44749,0.03355,0.86775,0.875,0.8125,0.6089,1.10487,1.18526,1.9566,0.12098,0.0012674,0.0012674,0.0012674
39,240.53,0.85915,0.70633,1.52461,0.05298,0.74014,0.875,0.83618,0.61267,1.03774,1.18688,1.95544,0.13964,0.0012476,0.0012476,0.0012476
40,246.289,0.71877,0.6328,1.46806,0.03636,0.95107,0.75,0.82773,0.66871,0.90708,1.14319,1.91874,0.12485,0.0012278,0.0012278,0.0012278
41,251.931,0.69434,0.61647,1.43257,0.03984,1,0.86481,0.875,0.67817,0.90293,1.22399,1.91577,0.11018,0.001208,0.001208,0.001208
42,258.04,0.67231,0.60001,1.28488,0.02015,1,0.72674,0.82083,0.715,0.7076,1.31038,1.63589,0.06629,0.0011882,0.0011882,0.0011882
43,264.78,0.66049,0.58377,1.37292,0.04508,0.87433,0.87033,0.8275,0.68705,0.64658,1.2686,1.68487,0.01674,0.0011684,0.0011684,0.0011684
44,270.616,0.67682,0.58127,1.41163,0.04005,0.86703,0.875,0.79625,0.65838,0.75858,1.13814,1.6196,0.05809,0.0011486,0.0011486,0.0011486
45,276.013,0.81479,0.62193,1.37337,0.05178,0.86426,0.875,0.79625,0.66084,0.82986,1.2293,1.66525,0.08003,0.0011288,0.0011288,0.0011288
46,281.705,0.66917,0.58755,1.35031,0.04496,0.87383,0.86679,0.85875,0.7515,0.70654,1.18922,1.63193,0.15502,0.001109,0.001109,0.001109
47,287.583,0.66404,0.6049,1.36077,0.04653,0.87389,0.86724,0.85875,0.73942,0.67122,1.14902,1.67384,0.03315,0.0010892,0.0010892,0.0010892
48,293.326,0.69352,0.56166,1.29944,0.03667,0.7701,0.875,0.79325,0.6741,0.65905,1.2062,1.50147,0.11864,0.0010694,0.0010694,0.0010694
49,300.023,0.64938,0.55359,1.30718,0.03666,0.7725,0.875,0.71528,0.59922,0.6816,1.22206,1.54953,0.10054,0.0010496,0.0010496,0.0010496
50,305.951,0.64043,0.54306,1.26991,0.02851,0.77214,0.875,0.735,0.59903,0.71836,1.22397,1.60353,0.09459,0.0010298,0.0010298,0.0010298
51,311.571,0.62751,0.58895,1.38757,0.0305,0.77252,0.875,0.76656,0.58572,0.78257,1.29998,1.72827,0.09299,0.00101,0.00101,0.00101
52,317.373,0.68095,0.58072,1.30783,0.03171,0.77301,0.875,0.84611,0.61608,0.72922,1.26513,1.73724,0.08901,0.0009902,0.0009902,0.0009902
53,322.873,0.5369,0.49812,1.27121,0.02167,0.77302,0.875,0.91011,0.67168,0.68879,1.20678,1.63531,0.05798,0.0009704,0.0009704,0.0009704
54,328.545,0.65964,0.55369,1.34863,0.03363,0.77269,0.875,0.8904,0.6877,0.66314,1.15187,1.57636,0.11392,0.0009506,0.0009506,0.0009506
55,335.03,0.53279,0.47541,1.21025,0.02546,0.77154,0.875,0.8904,0.72632,0.6621,1.10356,1.59625,0.10392,0.0009308,0.0009308,0.0009308
56,340.501,0.68604,0.56871,1.3539,0.04396,0.77001,0.875,0.8644,0.68619,0.65129,1.02471,1.66516,0.02777,0.000911,0.000911,0.000911
57,346.163,0.6267,0.53089,1.34041,0.0388,0.76953,0.875,0.8404,0.65369,0.69252,1.0641,1.63744,0.05335,0.0008912,0.0008912,0.0008912
58,352.848,0.62573,0.55465,1.29301,0.03237,0.76954,0.875,0.76389,0.61286,0.59148,0.97697,1.62297,0.03603,0.0008714,0.0008714,0.0008714
59,358.928,0.59911,0.52482,1.35916,0.04561,0.77089,0.875,0.735,0.61682,0.56148,0.95275,1.58584,0.01638,0.0008516,0.0008516,0.0008516
60,364.957,0.64754,0.54412,1.30478,0.02553,0.77589,0.875,0.735,0.62447,0.59985,1.02103,1.46697,0.14016,0.0008318,0.0008318,0.0008318
61,370.883,0.56718,0.50838,1.20604,0.02323,0.7765,0.875,0.76656,0.67556,0.58628,1.09623,1.47786,0.09785,0.000812,0.000812,0.000812
62,376.61,0.55657,0.49177,1.27618,0.02576,0.77722,0.87249,0.75754,0.69829,0.56142,1.08453,1.51644,0.0212,0.0007922,0.0007922,0.0007922
63,382.554,0.59469,0.55589,1.25891,0.02347,0.8299,0.75,0.74743,0.68519,0.56621,1.06304,1.4951,0.02711,0.0007724,0.0007724,0.0007724
64,388.592,0.5972,0.48425,1.26409,0.01855,0.77651,0.86929,0.8104,0.74786,0.61737,1.10662,1.47492,0.04801,0.0007526,0.0007526,0.0007526
65,395.122,0.5673,0.47832,1.2871,0.03063,0.77298,0.875,0.82897,0.74006,0.61576,1.05741,1.43415,0.05999,0.0007328,0.0007328,0.0007328
66,401.424,0.66263,0.57124,1.35828,0.02761,0.86787,0.875,0.78125,0.71122,0.56612,0.9727,1.38487,0.09306,0.000713,0.000713,0.000713
67,407.082,0.54699,0.46314,1.2049,0.02306,0.86912,0.875,0.78125,0.71335,0.5627,1.0896,1.38095,0.08874,0.0006932,0.0006932,0.0006932
68,413.605,0.53233,0.48276,1.1936,0.03037,0.86081,0.875,0.76562,0.67016,0.55174,0.9491,1.37532,0.09146,0.0006734,0.0006734,0.0006734
69,419.155,0.5017,0.43485,1.21318,0.02372,0.84403,0.875,0.8529,0.70387,0.56297,0.92053,1.37823,0.10588,0.0006536,0.0006536,0.0006536
70,424.603,0.56971,0.49294,1.29592,0.01621,0.77255,0.875,0.82696,0.66531,0.57445,0.93698,1.39782,0.14314,0.0006338,0.0006338,0.0006338
71,430.126,0.55117,0.48117,1.28977,0.03119,0.77286,0.875,0.81968,0.64772,0.59176,0.99869,1.40172,0.13549,0.000614,0.000614,0.000614
72,435.546,0.53899,0.44128,1.20078,0.01582,0.77266,0.875,0.73968,0.60316,0.53418,1.04475,1.49964,0.03253,0.0005942,0.0005942,0.0005942
73,441.247,0.45816,0.42722,1.18633,0.01137,0.7721,0.875,0.77468,0.64321,0.50407,1.02436,1.56115,0.0298,0.0005744,0.0005744,0.0005744
74,448.056,0.50664,0.43126,1.27297,0.02161,0.85478,0.875,0.84375,0.68475,0.48691,0.99253,1.61624,0.06473,0.0005546,0.0005546,0.0005546
75,453.319,0.52911,0.4661,1.21156,0.02271,0.81094,0.875,0.8125,0.65243,0.51221,1.0333,1.61127,0.05598,0.0005348,0.0005348,0.0005348
76,459.451,0.58551,0.4787,1.17961,0.02326,0.70529,0.875,0.77778,0.68324,0.55256,1.22582,1.51602,0.03372,0.000515,0.000515,0.000515
77,465.022,0.53631,0.45995,1.21163,0.02058,0.69928,0.875,0.735,0.63979,0.57,1.28519,1.52128,0.03524,0.0004952,0.0004952,0.0004952
78,470.644,0.51798,0.44288,1.27718,0.02222,0.69947,0.875,0.735,0.64114,0.57399,1.19282,1.59801,0.05239,0.0004754,0.0004754,0.0004754
79,476.652,0.57804,0.5043,1.28999,0.03392,0.7,0.875,0.735,0.66042,0.56213,1.12579,1.67146,0.07849,0.0004556,0.0004556,0.0004556
80,482.141,0.43208,0.3761,1.18617,0.01569,0.7167,0.875,0.735,0.6493,0.56568,1.13909,1.72808,0.07444,0.0004358,0.0004358,0.0004358
81,487.444,0.49233,0.43102,1.23097,0.02011,0.74183,0.875,0.76656,0.65487,0.59975,1.2199,1.6898,0.05993,0.000416,0.000416,0.000416
82,492.95,0.43679,0.39126,1.17303,0.02131,0.77497,0.875,0.79056,0.63131,0.77517,1.27724,1.60887,0.17392,0.0003962,0.0003962,0.0003962
83,498.681,0.53692,0.46896,1.2422,0.02048,0.76905,0.875,0.79056,0.62275,0.85285,1.22136,1.67321,0.12991,0.0003764,0.0003764,0.0003764
84,504.611,0.45598,0.42596,1.20957,0.01726,0.73608,0.875,0.79056,0.64686,0.82991,1.15165,1.66436,0.08381,0.0003566,0.0003566,0.0003566
85,511.764,0.4464,0.42173,1.22947,0.01365,0.77353,0.85587,0.79056,0.62778,0.79695,1.14353,1.61835,0.0708,0.0003368,0.0003368,0.0003368
86,517.087,0.45078,0.3988,1.19802,0.00996,0.7,0.875,0.7735,0.61494,0.69774,1.13371,1.58602,0.05113,0.000317,0.000317,0.000317
87,522.973,0.50184,0.45569,1.18087,0.01919,0.7,0.875,0.806,0.67299,0.63941,1.12924,1.57802,0.04739,0.0002972,0.0002972,0.0002972
88,529.179,0.43006,0.40164,1.21149,0.01531,0.7,0.875,0.81886,0.70774,0.5744,1.03804,1.56428,0.02492,0.0002774,0.0002774,0.0002774
89,534.842,0.51353,0.43971,1.21155,0.02114,1,0.70898,0.836,0.72853,0.56302,1.01529,1.54011,0.03012,0.0002576,0.0002576,0.0002576
90,540.293,0.44922,0.40973,1.17595,0.01773,0.75214,0.875,0.82897,0.71923,0.55981,1.00128,1.51919,0.04781,0.0002378,0.0002378,0.0002378
91,548.201,0.28685,0.30568,1.15493,0.00753,0.73421,0.875,0.82897,0.73464,0.5708,1.02576,1.49944,0.06857,0.000218,0.000218,0.000218
92,553.587,0.26557,0.29643,1.07027,0.00456,0.79232,0.875,0.8275,0.69572,0.59344,1.09604,1.4951,0.07307,0.0001982,0.0001982,0.0001982
93,559.064,0.27771,0.29646,1.13706,0.00494,0.82407,0.875,0.8275,0.69572,0.58945,1.1152,1.49947,0.08567,0.0001784,0.0001784,0.0001784
94,564.662,0.26947,0.29339,1.12666,0.00534,0.77354,0.875,0.8275,0.69095,0.58414,1.14614,1.50943,0.0843,0.0001586,0.0001586,0.0001586
95,570.208,0.25405,0.28185,1.10693,0.00399,0.76412,0.875,0.8275,0.69095,0.58083,1.15711,1.51572,0.08524,0.0001388,0.0001388,0.0001388
96,575.796,0.25242,0.2919,1.14898,0.00292,0.77778,0.875,0.8275,0.65871,0.5727,1.15377,1.52369,0.08258,0.000119,0.000119,0.000119
97,582.356,0.2519,0.28784,1.07132,0.00442,0.77778,0.875,0.8275,0.65871,0.56701,1.15075,1.5403,0.08475,9.92e-05,9.92e-05,9.92e-05
98,587.82,0.25126,0.28875,1.07296,0.00493,0.77778,0.875,0.8275,0.66682,0.56215,1.13266,1.54328,0.08675,7.94e-05,7.94e-05,7.94e-05
99,593.168,0.26406,0.29069,1.12305,0.00379,0.77778,0.875,0.8275,0.66682,0.56133,1.12942,1.54648,0.08714,5.96e-05,5.96e-05,5.96e-05
100,598.672,0.23827,0.27614,1.06124,0.00471,0.77778,0.875,0.8275,0.66682,0.55865,1.11795,1.54643,0.08757,3.98e-05,3.98e-05,3.98e-05
